大項目,中項目,小項目,設問,設問様式,選択肢,配点
4社会・社会貢献,6.地域との連携・地域への影響,B.地域への影響,(1)進出時、撤退時に地域への影響について配慮する方針等はありますか,択一,c.方針があり、内容を公開している,2
5平和・非暴力,1.平和・非暴力への関与,A.「平和・非暴力」に関する方針,(1)「平和・非暴力」に関する方針がありますか。また、その方針には次の内容がありますか,択一,a.「平和・非暴力」に関する方針はない、もしくは不明,0
5平和・非暴力,1.平和・非暴力への関与,A.「平和・非暴力」に関する方針,(1)「平和・非暴力」に関する方針がありますか。また、その方針には次の内容がありますか,択一,b.「平和・非暴力」に関する方針がある,2
5平和・非暴力,1.平和・非暴力への関与,A.「平和・非暴力」に関する方針,(1)「平和・非暴力」に関する方針がありますか。また、その方針には次の内容がありますか,択一,c.「平和・非暴力」に関する方針があり、そこに「非核、核兵器のない世界」を明記している,4
5平和・非暴力,1.平和・非暴力への関与,A.「平和・非暴力」に関する方針,(1)「平和・非暴力」に関する方針がありますか。また、その方針には次の内容がありますか,択一,d.「平和・非暴力」に関する方針があり、「非核、核兵器のない世界」を含む「平和・非暴力」を明記している,6
5平和・非暴力,1.平和・非暴力への関与,B.「平和・非暴力」に関する計画,(1)年度・中長期計画に「平和・非暴力」への取組みを明示していますか,択一,a.明示していない、もしくは不明,0
5平和・非暴力,1.平和・非暴力への関与,B.「平和・非暴力」に関する計画,(1)年度・中長期計画に「平和・非暴力」への取組みを明示していますか,択一,b.年度・中長期計画に明示している ,4
5平和・非暴力,2.具体的課題への取組み（軍との関わり）,"A.「軍との関わり」に関する方針
（「軍」には自衛隊を含み、関わりについては、他国への侵略行為、もしくは武力行使、又は自国内外の少数民族や少数宗教グループ・政治グループへの武力行使、国内においてクーデターを起こした軍などへの関わりを含む。）",(1)「軍との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,択一,a.「軍との関わり」に関する方針はない、もしくは不明,0
5平和・非暴力,2.具体的課題への取組み（軍との関わり）,"A.「軍との関わり」に関する方針
（「軍」には自衛隊を含み、関わりについては、他国への侵略行為、もしくは武力行使、又は自国内外の少数民族や少数宗教グループ・政治グループへの武力行使、国内においてクーデターを起こした軍などへの関わりを含む。）",(1)「軍との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,択一,b.「軍との関わり」に関する方針がある,1
5平和・非暴力,2.具体的課題への取組み（軍との関わり）,"A.「軍との関わり」に関する方針
（「軍」には自衛隊を含み、関わりについては、他国への侵略行為、もしくは武力行使、又は自国内外の少数民族や少数宗教グループ・政治グループへの武力行使、国内においてクーデターを起こした軍などへの関わりを含む。）",(1)「軍との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,択一,c.「軍との関わり」に関する方針があり、「クラスター兵器や化学兵器など国連が認めるところの非人道的兵器を使用している軍への製品・サービスの提供をしない」ことを明記している,2
5平和・非暴力,2.具体的課題への取組み（軍との関わり）,"A.「軍との関わり」に関する方針
（「軍」には自衛隊を含み、関わりについては、他国への侵略行為、もしくは武力行使、又は自国内外の少数民族や少数宗教グループ・政治グループへの武力行使、国内においてクーデターを起こした軍などへの関わりを含む。）",(1)「軍との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,択一,d.「軍との関わり」に関する方針があり、「侵略行為に及んでいる軍隊への製品・サービスの提供をしない」ことを明記している,3
5平和・非暴力,2.具体的課題への取組み（軍との関わり）,"A.「軍との関わり」に関する方針
（「軍」には自衛隊を含み、関わりについては、他国への侵略行為、もしくは武力行使、又は自国内外の少数民族や少数宗教グループ・政治グループへの武力行使、国内においてクーデターを起こした軍などへの関わりを含む。）",(1)「軍との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,択一,e.「軍との関わり」に関する方針があり、「いかなる軍へも製品・サービスを提供しない」ことを明記している,4
5平和・非暴力,3.具体的課題への取組み（武装勢力との関わり）,A.「武装勢力との関わり」に関する方針,(1)「正規軍ではない武装勢力との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,複数,a.「正規軍ではない武装勢力との関わり」に関する方針はない、もしくは不明,0
5平和・非暴力,3.具体的課題への取組み（武装勢力との関わり）,A.「武装勢力との関わり」に関する方針,(1)「正規軍ではない武装勢力との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,複数,b.「正規軍ではない武装勢力との関わり」に関する方針がある,1
5平和・非暴力,3.具体的課題への取組み（武装勢力との関わり）,A.「武装勢力との関わり」に関する方針,(1)「正規軍ではない武装勢力との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,複数,c.「正規軍ではない武装勢力との関わり」に関する方針があり、「いかなる武装勢力へも製品・サービスを提供しない」ことを明記している,2
5平和・非暴力,3.具体的課題への取組み（武装勢力との関わり）,A.「武装勢力との関わり」に関する方針,(1)「正規軍ではない武装勢力との関わり」に関する方針がありますか。また、その方針には次の内容がありますか,複数,d.「正規軍ではない武装勢力との関わり」に関する方針があり、「いかなる武装勢力へも原材料の調達などを通じた資金供与をしない」ことを明記している,2
5平和・非暴力,4.具体的課題への取組み（反社会的勢力との関わり）,A.「反社会的勢力との関わり」に関する方針,(1)「反社会的勢力との関わり」に関する方針がありますか。また、その方針には次の内容や取組みがありますか,複数,a.「反社会的勢力との関わり」に関する方針はない、もしくは不明,0
5平和・非暴力,4.具体的課題への取組み（反社会的勢力との関わり）,A.「反社会的勢力との関わり」に関する方針,(1)「反社会的勢力との関わり」に関する方針がありますか。また、その方針には次の内容や取組みがありますか,複数,b.「反社会的勢力との関わり」に関する方針がある,1
5平和・非暴力,4.具体的課題への取組み（反社会的勢力との関わり）,A.「反社会的勢力との関わり」に関する方針,(1)「反社会的勢力との関わり」に関する方針がありますか。また、その方針には次の内容や取組みがありますか,複数,c.「反社会的勢力との関わり」に関する方針があり、「反社会的勢力への製品・サービスを提供しない」ことを明記している,1
5平和・非暴力,4.具体的課題への取組み（反社会的勢力との関わり）,A.「反社会的勢力との関わり」に関する方針,(1)「反社会的勢力との関わり」に関する方針がありますか。また、その方針には次の内容や取組みがありますか,複数,d.「反社会的勢力との関わり」に関する方針があり、「反社会的勢力への資金供与につながる行為を一切しない」ことを明記している,1
5平和・非暴力,4.具体的課題への取組み（反社会的勢力との関わり）,A.「反社会的勢力との関わり」に関する方針,(1)「反社会的勢力との関わり」に関する方針がありますか。また、その方針には次の内容や取組みがありますか,複数,e.「反社会的勢力との関わり」に関する方針があり、社内外に宣言し周知徹底している,1
5平和・非暴力,4.具体的課題への取組み（反社会的勢力との関わり）,A.「反社会的勢力との関わり」に関する方針,(1)「反社会的勢力との関わり」に関する方針がありますか。また、その方針には次の内容や取組みがありますか,複数,f.「反社会的勢力との関わり」に関する方針があり、実施する体制が整備されている,1
5平和・非暴力,5.具体的課題への取組み（兵器産業との関わり）,A.「兵器産業との関わり」に関する方針,(1)「兵器産業との関わり」に関する方針がありますか。その方針には次の内容がありますか,複数,a.「兵器作業との関わり」に関する方針はない、もしくは不明,0
5平和・非暴力,5.具体的課題への取組み（兵器産業との関わり）,A.「兵器産業との関わり」に関する方針,(1)「兵器産業との関わり」に関する方針がありますか。その方針には次の内容がありますか,複数,b.「兵器産業との関わり」に関する方針がある,1
5平和・非暴力,5.具体的課題への取組み（兵器産業との関わり）,A.「兵器産業との関わり」に関する方針,(1)「兵器産業との関わり」に関する方針がありますか。その方針には次の内容がありますか,複数,c.「兵器産業との関わり」に関する方針があり、「兵器産業について”直接取引”をしない」ことを明記している,1
5平和・非暴力,5.具体的課題への取組み（兵器産業との関わり）,A.「兵器産業との関わり」に関する方針,(1)「兵器産業との関わり」に関する方針がありますか。その方針には次の内容がありますか,複数,d.「兵器産業との関わり」に関する方針があり、「兵器産業について”間接的にも全く関わらない”」ことを明記している,3
5平和・非暴力,5.具体的課題への取組み（兵器産業との関わり）,A.「紛争原因に関連する責任ある調達」に関する方針,(1)「紛争地域との関わり」に関する調達方針がありますか。また、武装勢力の資金源となる等で紛争原因を生まないように、調達方針において、鉱物等についての責任ある調達を定めていますか,複数,a.「紛争地域に関わる調達方針」はない、もしくは不明,0
5平和・非暴力,5.具体的課題への取組み（兵器産業との関わり）,A.「紛争原因に関連する責任ある調達」に関する方針,(1)「紛争地域との関わり」に関する調達方針がありますか。また、武装勢力の資金源となる等で紛争原因を生まないように、調達方針において、鉱物等についての責任ある調達を定めていますか,複数,b.「紛争地域に関わる調達方針」がある,1
5平和・非暴力,5.具体的課題への取組み（兵器産業との関わり）,A.「紛争原因に関連する責任ある調達」に関する方針,(1)「紛争地域との関わり」に関する調達方針がありますか。また、武装勢力の資金源となる等で紛争原因を生まないように、調達方針において、鉱物等についての責任ある調達を定めていますか,複数,"c.「紛争地域に関わる調達方針」があり、次のものについて定めている 　
①鉱物（金、タンタル、タングステン、スズ、ダイヤモンド、各種レアメタルなど）　　  
②その他（金、タンタル、タングステン、スズ、ダイヤモンド、各種レアメタルなど）【注】具体的資源・原材料については、「企業記入欄」に根拠とともに記載してください。",6
6アニマルウェルフェア,1.基本取組み,A.「アニマルウェルフェア」に関する方針,(1)アニマルウェルフェアの増進、および動物利用の削減（または代替品の利用促進）を明記した方針を持ち公表していますか,複数,a.明記していない、もしくは不明,0
6アニマルウェルフェア,1.基本取組み,A.「アニマルウェルフェア」に関する方針,(1)アニマルウェルフェアの増進、および動物利用の削減（または代替品の利用促進）を明記した方針を持ち公表していますか,複数,b.アニマルウエルフェアを増進することを明記した方針を持ち公表している,1
6アニマルウェルフェア,1.基本取組み,A.「アニマルウェルフェア」に関する方針,(1)アニマルウェルフェアの増進、および動物利用の削減（または代替品の利用促進）を明記した方針を持ち公表していますか,複数,c.動物利用の削減（または代替品の利用促進）を明記した方針を持ち公表している,1
6アニマルウェルフェア,1.基本取組み,A.「アニマルウェルフェア」に関する方針,(2)代表者や責任ある立場の担当者が、アニマルウエルフェアを推進することに言及していますか,択一,a.代表者等がアニマルウエルフェアに関して言及していない、もしくは不明,0
6アニマルウェルフェア,1.基本取組み,A.「アニマルウェルフェア」に関する方針,(2)代表者や責任ある立場の担当者が、アニマルウエルフェアを推進することに言及していますか,択一,b.代表者等が公式な場や公式サイト等で言及している,1
6アニマルウェルフェア,1.基本取組み,B.計画,(1)アニマルウエルフェアの取組みに関する計画について、次の内容を実施していますか,複数,a.計画を持っていない、もしくは不明,0
6アニマルウェルフェア,1.基本取組み,B.計画,(1)アニマルウエルフェアの取組みに関する計画について、次の内容を実施していますか,複数,b.年度・中長期計画に明記している,1
6アニマルウェルフェア,1.基本取組み,B.計画,(1)アニマルウエルフェアの取組みに関する計画について、次の内容を実施していますか,複数,c.行動計画を持ち公開している,2
6アニマルウェルフェア,1.基本取組み,B.計画,(1)アニマルウエルフェアの取組みに関する計画について、次の内容を実施していますか,複数,d.進捗状況を開示している,2
6アニマルウェルフェア,1.基本取組み,C.調達基準,(1)アニマルウエルフェアの生産・調達基準を持ち、公開していますか,択一,a.アニマルウエルフェアに関する生産・調達基準は持っていない、もしくは不明,0
6アニマルウェルフェア,1.基本取組み,C.調達基準,(1)アニマルウエルフェアの生産・調達基準を持ち、公開していますか,択一,b.同基準を持っている,1
6アニマルウェルフェア,1.基本取組み,C.調達基準,(1)アニマルウエルフェアの生産・調達基準を持ち、公開していますか,択一,c.同基準を持ち、公開している,5
6アニマルウェルフェア,1.基本取組み,D.報告書,(1)企業が発行する報告書にアニマルウエルフェアについて記載していますか,複数,a.企業発行の報告書にアニマルウエルフェアについて記載していない、もしくは不明,0
6アニマルウェルフェア,1.基本取組み,D.報告書,(1)企業が発行する報告書にアニマルウエルフェアについて記載していますか,複数,b.同報告書に方針を記載をしている,2
6アニマルウェルフェア,1.基本取組み,D.報告書,(1)企業が発行する報告書にアニマルウエルフェアについて記載していますか,複数,c.同報告書に取組みの進捗について記載している,2
6アニマルウェルフェア,1.基本取組み,D.報告書,(1)企業が発行する報告書にアニマルウエルフェアについて記載していますか,複数,d.同報告書に取組みの成果を記載している,2
6アニマルウェルフェア,1.基本取組み,E.コミュニケーション,(1)アニマルウエルフェアについて、専門的な第三者の意見を聞き、改善する仕組みがありますか,複数,a.アニマルウエルフェアの取組み改善の仕組みはない、もしくは不明,0
6アニマルウェルフェア,1.基本取組み,E.コミュニケーション,(1)アニマルウエルフェアについて、専門的な第三者の意見を聞き、改善する仕組みがありますか,複数,b.アニマルウエルフェアについて第三者の意見を聞く機会を設けている,2
6アニマルウェルフェア,1.基本取組み,E.コミュニケーション,(1)アニマルウエルフェアについて、専門的な第三者の意見を聞き、改善する仕組みがありますか,複数,c.アニマルウエルフェアについて第三者とともに改善に取り組んでいる,4
6アニマルウェルフェア,1.基本取組み,F.トレーサビリティ,(1)自社が利用する動物性素材について、農場や屠畜場まで遡って動物のアニマルウェルフェアの状況を把握することができるよう、トレーサビリティを確保していますか,複数,a.利用する動物性素材のトレーサビリティを確保していない、もしくは不明,0
6アニマルウェルフェア,1.基本取組み,F.トレーサビリティ,(1)自社が利用する動物性素材について、農場や屠畜場まで遡って動物のアニマルウェルフェアの状況を把握することができるよう、トレーサビリティを確保していますか,複数,b.利用する動物性素材のトレーサビリティを確保する努力をしている,1
6アニマルウェルフェア,1.基本取組み,F.トレーサビリティ,(1)自社が利用する動物性素材について、農場や屠畜場まで遡って動物のアニマルウェルフェアの状況を把握することができるよう、トレーサビリティを確保していますか,複数,c.利用する動物性素材を農場まで遡ることができる,2
6アニマルウェルフェア,1.基本取組み,F.トレーサビリティ,(1)自社が利用する動物性素材について、農場や屠畜場まで遡って動物のアニマルウェルフェアの状況を把握することができるよう、トレーサビリティを確保していますか,複数,d.利用する動物性素材のトレーサビリティの結果を公表している,2
6アニマルウェルフェア,1.基本取組み,F.トレーサビリティ,(1)自社が利用する動物性素材について、農場や屠畜場まで遡って動物のアニマルウェルフェアの状況を把握することができるよう、トレーサビリティを確保していますか,複数,e.トレーサビリティを確保できない動物性素材を利用しない方針を持っている,4
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(1)動物の閉鎖的監禁や拘束、集約的なシステムを避け、各動物種について問題のある飼育を経た畜産物を避ける立場を方針、経営計画、NGO等への回答等で明らかにしていますか,,・当該小項目（ア2-A-1 A.閉鎖的監禁・集約的システム）が評価対象事業とは関連がない場合には、チェックを行う,－
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(a)母豚のストール（母豚を妊娠中又は分娩中に身動きができないよう拘束し飼育するシステム）フリー,択一、うち一部は複数,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(a)母豚のストール（母豚を妊娠中又は分娩中に身動きができないよう拘束し飼育するシステム）フリー,択一、うち一部は複数,b.妊娠ストール飼育を廃止することを目指している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(a)母豚のストール（母豚を妊娠中又は分娩中に身動きができないよう拘束し飼育するシステム）フリー,択一、うち一部は複数,c.妊娠ストールを廃止し群飼へ移行する目標年を発表している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(a)母豚のストール（母豚を妊娠中又は分娩中に身動きができないよう拘束し飼育するシステム）フリー,択一、うち一部は複数,d.分娩ストールも廃止に向け取り組んでいる,2
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(a)母豚のストール（母豚を妊娠中又は分娩中に身動きができないよう拘束し飼育するシステム）フリー,択一、うち一部は複数,e.妊娠ストール廃止に向けて進捗を報告している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(a)母豚のストール（母豚を妊娠中又は分娩中に身動きができないよう拘束し飼育するシステム）フリー,択一、うち一部は複数,f.妊娠ストール廃止済み,6
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(b)鶏のケージ（採卵用の鶏を閉じ込め飼育するケージが連なった飼育システム）フリー,択一、うち一部は複数,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(b)鶏のケージ（採卵用の鶏を閉じ込め飼育するケージが連なった飼育システム）フリー,択一、うち一部は複数,b. ケージフリーの卵の割合を増やし、そのことを公表している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(b)鶏のケージ（採卵用の鶏を閉じ込め飼育するケージが連なった飼育システム）フリー,択一、うち一部は複数,c. ケージ飼育廃止を目指している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(b)鶏のケージ（採卵用の鶏を閉じ込め飼育するケージが連なった飼育システム）フリー,択一、うち一部は複数,d.ケージ飼育廃止の目標年を発表している,2
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(b)鶏のケージ（採卵用の鶏を閉じ込め飼育するケージが連なった飼育システム）フリー,択一、うち一部は複数,e.ケージ飼育廃止に向けて進捗を報告している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(b)鶏のケージ（採卵用の鶏を閉じ込め飼育するケージが連なった飼育システム）フリー,択一、うち一部は複数,f.ケージ飼育廃止済み,6
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(c)牛の繋ぎ飼い（タイストール：乳牛、一部の肉牛で行われる長時間の係留およびスタンチョンで拘束して飼育するシステム）フリー,択一,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(c)牛の繋ぎ飼い（タイストール：乳牛、一部の肉牛で行われる長時間の係留およびスタンチョンで拘束して飼育するシステム）フリー,択一,b.繋ぎ飼い廃止を決定している,2
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(c)牛の繋ぎ飼い（タイストール：乳牛、一部の肉牛で行われる長時間の係留およびスタンチョンで拘束して飼育するシステム）フリー,択一,c.繋ぎ飼い廃止済み,3
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(d)肉用鶏のベターチキン（飼育密度を30kg/㎡に抑え、とまり木を与え、つつく素材を与え、品種改変されすぎていない成長がより緩やかな品種に変え、ガスで気絶させる屠畜方法を用いた飼育方法）（地鶏含む）,択一、うち一部は複数,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(d)肉用鶏のベターチキン（飼育密度を30kg/㎡に抑え、とまり木を与え、つつく素材を与え、品種改変されすぎていない成長がより緩やかな品種に変え、ガスで気絶させる屠畜方法を用いた飼育方法）（地鶏含む）,択一、うち一部は複数,b.地鶏やベターチキンに適合する鶏肉の割合を増やしている,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(d)肉用鶏のベターチキン（飼育密度を30kg/㎡に抑え、とまり木を与え、つつく素材を与え、品種改変されすぎていない成長がより緩やかな品種に変え、ガスで気絶させる屠畜方法を用いた飼育方法）（地鶏含む）,択一、うち一部は複数,c.ベターチキンへの切り替えを目指している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(d)肉用鶏のベターチキン（飼育密度を30kg/㎡に抑え、とまり木を与え、つつく素材を与え、品種改変されすぎていない成長がより緩やかな品種に変え、ガスで気絶させる屠畜方法を用いた飼育方法）（地鶏含む）,択一、うち一部は複数,d.ベターチキンへの切り替えの目標年を発表している,2
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(d)肉用鶏のベターチキン（飼育密度を30kg/㎡に抑え、とまり木を与え、つつく素材を与え、品種改変されすぎていない成長がより緩やかな品種に変え、ガスで気絶させる屠畜方法を用いた飼育方法）（地鶏含む）,択一、うち一部は複数,e.ベターチキンへの切り替えを決定し、進捗を報告している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(d)肉用鶏のベターチキン（飼育密度を30kg/㎡に抑え、とまり木を与え、つつく素材を与え、品種改変されすぎていない成長がより緩やかな品種に変え、ガスで気絶させる屠畜方法を用いた飼育方法）（地鶏含む）,択一、うち一部は複数,f.ベターチキンへの切り替え済み,6
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,"(e)その他、密飼いを避ける＊こと

【注】a,b～dは択一選択。うちb～dは、廃止の方針・目標はありにて複数選択。",択一、うち一部は複数,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(e)その他、密飼いを避けること（適正な最低飼育面積の規定を定め、それに沿った畜産物を調達すること。）,択一、うち一部は複数,b.適切な飼育密度＊を規定している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(e)その他、密飼いを避けること（適正な最低飼育面積の規定を定め、それに沿った畜産物を調達すること。）,択一、うち一部は複数,c.飼育密度をより下げることを目指している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,A.閉鎖的監禁・集約的システム＊,(e)その他、密飼いを避けること（適正な最低飼育面積の規定を定め、それに沿った畜産物を調達すること。）,択一、うち一部は複数,d.規定した最低面積が守られていること、または進捗状況を監査し報告している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(1)次のような慣習的部分切除や麻酔なしの外科的処置を経た畜産物・水産物を避ける立場を、方針、経営計画、NGO等への回答等で明らかにしていますか,,・当該小項目（ア2-B-1 B.慣習的部分切除や、残酷な手技）が評価対象事業とは関連がない場合には、チェックを行う,－
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(a)麻酔なしの去勢（肥育のオス豚が生後7日ごろに麻酔無しでメスやカミソリで去勢されること。）,択一,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(a)麻酔なしの去勢（肥育のオス豚が生後7日ごろに麻酔無しでメスやカミソリで去勢されること。）,択一,b.廃止を決定している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(a)麻酔なしの去勢（肥育のオス豚が生後7日ごろに麻酔無しでメスやカミソリで去勢されること。）,択一,c.廃止済み,2
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,"(b)麻酔無しで身体の一部を慣習的に切除する行為


【注】b～gについては、これらの行為の廃止を決定している場合にチェックする",複数,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,"(b)麻酔無しで身体の一部を慣習的に切除する行為


【注】b～gについては、これらの行為の廃止を決定している場合にチェックする",複数,b.鶏や鴨のクチバシの切除,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,"(b)麻酔無しで身体の一部を慣習的に切除する行為


【注】b～gについては、これらの行為の廃止を決定している場合にチェックする",複数,c.豚の歯切り,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,"(b)麻酔無しで身体の一部を慣習的に切除する行為


【注】b～gについては、これらの行為の廃止を決定している場合にチェックする",複数,d.豚の断尾,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,"(b)麻酔無しで身体の一部を慣習的に切除する行為


【注】b～gについては、これらの行為の廃止を決定している場合にチェックする",複数,e.豚の耳刻,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,"(b)麻酔無しで身体の一部を慣習的に切除する行為


【注】b～gについては、これらの行為の廃止を決定している場合にチェックする",複数,f.牛の断尾,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,"(b)麻酔無しで身体の一部を慣習的に切除する行為


【注】b～gについては、これらの行為の廃止を決定している場合にチェックする",複数,g.牛の除角,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(c)採卵鶏のオスひよこの殺処分（卵を産まないオスが生後0日目にシュレッダーや圧死で殺処分されること）,択一,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(c)採卵鶏のオスひよこの殺処分（卵を産まないオスが生後0日目にシュレッダーや圧死で殺処分されること）,択一,b.廃止を決定している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(c)採卵鶏のオスひよこの殺処分（卵を産まないオスが生後0日目にシュレッダーや圧死で殺処分されること）,択一,c.廃止済み,2
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(d)フォアグラ生産のための強制給餌（水鳥の口から太い鉄パイプを胃に差し込み強制的にエサを流し込むこと）,択一,a.フォアグラを調達している、立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(d)フォアグラ生産のための強制給餌（水鳥の口から太い鉄パイプを胃に差し込み強制的にエサを流し込むこと）,択一,b.廃止を決定している,2
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(d)フォアグラ生産のための強制給餌（水鳥の口から太い鉄パイプを胃に差し込み強制的にエサを流し込むこと）,択一,c.廃止済み,3
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(e)エビの眼の切除（養殖エビの孵化場で繁殖用のメスのエビの眼柄を切断する慣行のこと）,択一,a.立場を明確にしていない、もしくは不明,0
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(e)エビの眼の切除（養殖エビの孵化場で繁殖用のメスのエビの眼柄を切断する慣行のこと）,択一,b.廃止を決定している,1
6アニマルウェルフェア,2.具体的課題への取組み（畜産動物、水産動物の飼育）,B.慣習的部分切除や、残酷な手技,(e)エビの眼の切除（養殖エビの孵化場で繁殖用のメスのエビの眼柄を切断する慣行のこと）,択一,c.廃止済み,2
